"Hora","Dispositivo","Boleto","Evento Contador","Folio de corte","Dinero Total","Conteo Total","Subidas Totales","Bajadas Totales","Tipo Tarifa","Directo","Estudiantes","Tercera Edad","Local","Exactitud","Subidas","Bajadas"
"2023-04-03 00:00:08","CONTADOR DELANTERO","","RESET","","","","0","0","","","","","","","",""
"2023-04-03 00:07:43","CONTADOR DELANTERO","","RESET","","","","0","0","","","","","","","",""
"2023-04-03 00:07:45","CONTADOR DELANTERO","","RESET","","","","0","0","","","","","","","",""
"2023-04-03 00:07:58","CONTADOR DELANTERO","","BAJADAS","","","","0","1","","","","","","","0","1"
"2023-04-03 06:55:55","CONTADOR DELANTERO","","SUBIDAS","","","","1","1","","","","","","","1","0"
"2023-04-03 06:59:30","CONTADOR DELANTERO","","BAJADAS","","","","1","2","","","","","","","0","1"
"2023-04-03 07:00:38","CONTADOR DELANTERO","","RESET","","","","0","0","","","","","","","",""
"2023-04-03 07:01:49","CONTADOR DELANTERO","","SUBIDAS","","","","1","0","","","","","","","1","0"
"2023-04-03 07:02:04","CONTADOR DELANTERO","","BAJADAS","","","","1","1","","","","","","","0","1"
"2023-04-03 07:03:53","CONTADOR DELANTERO","","SUBIDAS","","","","2","1","","","","","","","1","0"
"2023-04-03 07:04:22","BIA","REGISTRO","","","20","1","","","","1","0","0","0","","",""
"2023-04-03 07:05:47","CONTADOR DELANTERO","","SUBIDAS","","","","3","1","","","","","","","1","0"
"2023-04-03 07:05:50","BIA","REGISTRO","","","40","2","","","","1","0","0","0","","",""
"2023-04-03 07:06:13","CONTADOR DELANTERO","","SUBIDAS","","","","4","1","","","","","","","1","0"
"2023-04-03 07:06:17","BIA","REGISTRO","","","60","3","","","","1","0","0","0","","",""
"2023-04-03 07:06:25","CONTADOR DELANTERO","","SUBIDAS","","","","5","1","","","","","","","1","0"
"2023-04-03 07:06:31","BIA","REGISTRO","","","80","4","","","","1","0","0","0","","",""
"2023-04-03 07:10:48","CONTADOR DELANTERO","","SUBIDAS","","","","6","1","","","","","","","1","0"
"2023-04-03 07:10:50","BIA","REGISTRO","","","100","5","","","","1","0","0","0","","",""
"2023-04-03 07:10:53","CONTADOR DELANTERO","","SUBIDAS","","","","7","1","","","","","","","1","0"
"2023-04-03 07:10:54","BIA","REGISTRO","","","120","6","","","","1","0","0","0","","",""
"2023-04-03 07:11:04","BIA","REGISTRO","","","140","7","","","","1","0","0","0","","",""
