"Hora","Dispositivo","Boleto","Evento Contador","Folio de corte","Dinero Total","Conteo Total","Subidas Totales","Bajadas Totales","Tipo Tarifa","Directo","Estudiantes","Tercera Edad","Local","Exactitud","Subidas","Bajadas"
"2023-04-03 00:00:25","CONTADOR DELANTERO","","RESET","","","","0","0","","","","","","","",""
"2023-04-03 00:09:20","CONTADOR DELANTERO","","SUBIDAS","","","","1","0","","","","","","","1","0"
"2023-04-03 00:09:43","CONTADOR DELANTERO","","SUBIDAS","","","","2","0","","","","","","","1","0"
"2023-04-03 00:11:29","CONTADOR DELANTERO","","BAJADAS","","","","2","1","","","","","","","0","1"
"2023-04-03 00:11:46","CONTADOR DELANTERO","","SUBIDAS","","","","3","1","","","","","","","1","0"
"2023-04-03 00:11:55","CONTADOR DELANTERO","","BAJADAS","","","","3","2","","","","","","","0","1"
"2023-04-03 06:27:47","CONTADOR DELANTERO","","SUBIDAS","","","","4","2","","","","","","","1","0"
"2023-04-03 06:29:40","CONTADOR DELANTERO","","SUBIDAS","","","","5","2","","","","","","","1","0"
"2023-04-03 06:29:42","CONTADOR DELANTERO","","SUBIDAS","","","","6","2","","","","","","","1","0"
"2023-04-03 06:30:50","CONTADOR DELANTERO","","RESET","","","","0","0","","","","","","","",""
"2023-04-03 06:31:56","CONTADOR DELANTERO","","BAJADAS","","","","0","1","","","","","","","0","1"
"2023-04-03 06:34:14","CONTADOR DELANTERO","","SUBIDAS","","","","1","1","","","","","","","1","0"
"2023-04-03 06:37:49","CONTADOR DELANTERO","","SUBIDAS","","","","2","1","","","","","","","1","0"
"2023-04-03 06:52:33","CONTADOR DELANTERO","","SUBIDAS","","","","3","1","","","","","","","1","0"
"2023-04-03 06:53:04","BIA","REGISTRO","","","20","1","","","","1","0","0","0","","",""
"2023-04-03 06:54:24","CONTADOR DELANTERO","","SUBIDAS","","","","4","1","","","","","","","1","0"
"2023-04-03 06:54:26","CONTADOR DELANTERO","","SUBIDAS","","","","5","1","","","","","","","1","0"
"2023-04-03 06:54:41","BIA","REGISTRO","","","40","2","","","","1","0","0","0","","",""
"2023-04-03 06:54:41","BIA","REGISTRO","","","60","3","","","","1","0","0","0","","",""
"2023-04-03 06:55:18","CONTADOR DELANTERO","","SUBIDAS","","","","6","1","","","","","","","1","0"
"2023-04-03 06:55:20","BIA","REGISTRO","","","80","4","","","","1","0","0","0","","",""
"2023-04-03 06:56:18","CONTADOR DELANTERO","","SUBIDAS","","","","7","1","","","","","","","1","0"
"2023-04-03 06:56:54","CONTADOR DELANTERO","","SUBIDAS","","","","8","1","","","","","","","1","0"
"2023-04-03 06:56:56","BIA","REGISTRO","","","100","5","","","","1","0","0","0","","",""
"2023-04-03 06:56:58","CONTADOR DELANTERO","","SUBIDAS","","","","9","1","","","","","","","1","0"
"2023-04-03 06:56:59","BIA","REGISTRO","","","110","6","","","","0","0","1","0","","",""
"2023-04-03 06:57:04","BIA","REGISTRO","","","130","7","","","","1","0","0","0","","",""
"2023-04-03 06:57:36","CONTADOR DELANTERO","","SUBIDAS","","","","10","1","","","","","","","1","0"
"2023-04-03 06:57:36","BIA","REGISTRO","","","150","8","","","","1","0","0","0","","",""
"2023-04-03 06:57:41","BIA","REGISTRO","","","170","9","","","","1","0","0","0","","",""
"2023-04-03 06:57:44","BIA","REGISTRO","","","190","10","","","","1","0","0","0","","",""
"2023-04-03 06:58:34","CONTADOR DELANTERO","","SUBIDAS","","","","11","1","","","","","","","1","0"
"2023-04-03 06:58:34","BIA","REGISTRO","","","210","11","","","","1","0","0","0","","",""
"2023-04-03 06:58:37","CONTADOR DELANTERO","","SUBIDAS","","","","12","1","","","","","","","1","0"
"2023-04-03 06:58:38","BIA","REGISTRO","","","230","12","","","","1","0","0","0","","",""
"2023-04-03 06:59:12","BIA","REGISTRO","","","250","13","","","","1","0","0","0","","",""
"2023-04-03 06:59:19","CONTADOR DELANTERO","","SUBIDAS","","","","13","1","","","","","","","1","0"
"2023-04-03 07:01:18","CONTADOR DELANTERO","","SUBIDAS","","","","14","1","","","","","","","1","0"
"2023-04-03 07:01:24","BIA","REGISTRO","","","270","14","","","","1","0","0","0","","",""
"2023-04-03 07:01:39","BIA","REGISTRO","","","280","15","","","","0","0","1","0","","",""
"2023-04-03 07:02:06","CONTADOR DELANTERO","","SUBIDAS","","","","15","1","","","","","","","1","0"
"2023-04-03 07:02:08","BIA","REGISTRO","","","300","16","","","","1","0","0","0","","",""
"2023-04-03 07:02:44","CONTADOR DELANTERO","","SUBIDAS","","","","16","1","","","","","","","1","0"
"2023-04-03 07:02:45","BIA","REGISTRO","","","320","17","","","","1","0","0","0","","",""
"2023-04-03 07:04:01","CONTADOR DELANTERO","","SUBIDAS","","","","17","1","","","","","","","1","0"
"2023-04-03 07:04:02","BIA","REGISTRO","","","340","18","","","","1","0","0","0","","",""
"2023-04-03 07:04:07","CONTADOR DELANTERO","","SUBIDAS","","","","18","1","","","","","","","1","0"
"2023-04-03 07:04:08","BIA","REGISTRO","","","355","19","","","","0","1","0","0","","",""
"2023-04-03 07:06:03","CONTADOR DELANTERO","","BAJADAS","","","","18","2","","","","","","","0","1"
"2023-04-03 07:06:09","CONTADOR DELANTERO","","SUBIDAS","","","","19","2","","","","","","","1","0"
"2023-04-03 07:06:13","BIA","REGISTRO","","","365","20","","","","0","0","1","0","","",""
"2023-04-03 07:06:23","BIA","REGISTRO","","","385","21","","","","1","0","0","0","","",""
"2023-04-03 07:08:31","CONTADOR DELANTERO","","SUBIDAS","","","","20","2","","","","","","","1","0"
"2023-04-03 07:08:37","BIA","REGISTRO","","","405","22","","","","1","0","0","0","","",""
"2023-04-03 07:17:43","BIA","REGISTRO","","","425","23","","","","1","0","0","0","","",""
"2023-04-03 07:18:13","CONTADOR DELANTERO","","BAJADAS","","","","20","3","","","","","","","0","1"
"2023-04-03 07:18:16","CONTADOR DELANTERO","","SUBIDAS","","","","21","3","","","","","","","1","0"
"2023-04-03 07:18:31","CONTADOR DELANTERO","","BAJADAS","","","","21","4","","","","","","","0","1"
"2023-04-03 07:19:46","CONTADOR DELANTERO","","SUBIDAS","","","","22","4","","","","","","","1","0"
"2023-04-03 07:19:49","BIA","REGISTRO","","","433","24","","","","0","0","0","1","","",""
"2023-04-03 07:20:27","CONTADOR DELANTERO","","BAJADAS","","","","22","5","","","","","","","0","1"
"2023-04-03 07:20:31","CONTADOR DELANTERO","","BAJADAS","","","","22","6","","","","","","","0","1"
"2023-04-03 07:22:06","CONTADOR DELANTERO","","BAJADAS","","","","22","7","","","","","","","0","1"
"2023-04-03 07:22:45","CONTADOR DELANTERO","","BAJADAS","","","","22","8","","","","","","","0","1"
