"Hora","Dispositivo","Boleto","Evento Contador","Folio de corte","Dinero Total","Conteo Total","Subidas Totales","Bajadas Totales","Tipo Tarifa","Directo","Estudiantes","Tercera Edad","Local","Exactitud","Subidas","Bajadas"
"2023-04-03 07:16:30","CONTADOR DELANTERO","","BAJADAS","","","","111","200","","","","","","99","0","1"
"2023-04-03 07:27:39","CONTADOR DELANTERO","","RESET","","","","0","0","","","","","","99","",""
"2023-04-03 07:32:03","CONTADOR DELANTERO","","SUBIDAS","","","","1","0","","","","","","100","1","0"
"2023-04-03 07:36:37","CONTADOR DELANTERO","","BAJADAS","","","","1","1","","","","","","100","0","1"
"2023-04-03 07:39:39","CONTADOR DELANTERO","","BAJADAS","","","","1","2","","","","","","89","0","1"
"2023-04-03 07:41:04","CONTADOR DELANTERO","","SUBIDAS","","","","2","2","","","","","","100","1","0"
"2023-04-03 07:42:40","CONTADOR DELANTERO","","BAJADAS","","","","2","3","","","","","","100","0","1"
"2023-04-03 07:44:53","CONTADOR DELANTERO","","SUBIDAS","","","","3","3","","","","","","100","1","0"
"2023-04-03 07:46:55","CONTADOR DELANTERO","","BAJADAS","","","","3","4","","","","","","100","0","1"
"2023-04-03 07:47:29","CONTADOR DELANTERO","","SUBIDAS","","","","4","4","","","","","","100","1","0"
"2023-04-03 07:48:42","CONTADOR DELANTERO","","BAJADAS","","","","4","5","","","","","","100","0","1"
"2023-04-03 07:50:42","CONTADOR DELANTERO","","BAJADAS","","","","4","6","","","","","","100","0","1"
"2023-04-03 07:54:32","CONTADOR DELANTERO","","BAJADAS","","","","4","7","","","","","","99","0","1"
"2023-04-03 08:00:57","CONTADOR DELANTERO","","SUBIDAS","","","","5","7","","","","","","100","1","0"
"2023-04-03 08:01:18","CONTADOR DELANTERO","","BAJADAS","","","","5","8","","","","","","100","0","1"
"2023-04-03 08:01:59","CONTADOR DELANTERO","","SUBIDAS","","","","6","8","","","","","","76","1","0"
"2023-04-03 08:02:10","BIA","REGISTRO","","","20","1","","","","1","0","0","0","","",""
"2023-04-03 08:03:59","CONTADOR DELANTERO","","BAJADAS","","","","6","9","","","","","","100","0","1"
"2023-04-03 08:05:37","CONTADOR DELANTERO","","SUBIDAS","","","","7","9","","","","","","100","1","0"
"2023-04-03 08:05:39","BIA","REGISTRO","","","40","2","","","","1","0","0","0","","",""
"2023-04-03 08:05:42","BIA","REGISTRO","","","60","3","","","","1","0","0","0","","",""
"2023-04-03 08:05:44","CONTADOR DELANTERO","","SUBIDAS","","","","8","9","","","","","","100","1","0"
"2023-04-03 08:05:44","BIA","REGISTRO","","","80","4","","","","1","0","0","0","","",""
"2023-04-03 08:05:52","BIA","REGISTRO","","","100","5","","","","1","0","0","0","","",""
"2023-04-03 08:06:40","CONTADOR DELANTERO","","BAJADAS","","","","8","10","","","","","","99","0","1"
"2023-04-03 08:07:08","BIA","REGISTRO","","","120","6","","","","1","0","0","0","","",""
"2023-04-03 08:08:16","BIA","REGISTRO","","","140","7","","","","1","0","0","0","","",""
"2023-04-03 08:08:20","BIA","REGISTRO","","","160","8","","","","1","0","0","0","","",""
"2023-04-03 08:08:23","CONTADOR DELANTERO","","SUBIDAS","","","","9","10","","","","","","100","1","0"
"2023-04-03 08:08:25","BIA","REGISTRO","","","180","9","","","","1","0","0","0","","",""
"2023-04-03 08:09:12","BIA","REGISTRO","","","200","10","","","","1","0","0","0","","",""
"2023-04-03 08:09:15","CONTADOR DELANTERO","","SUBIDAS","","","","10","10","","","","","","100","1","0"
"2023-04-03 08:10:09","BIA","REGISTRO","","","220","11","","","","1","0","0","0","","",""
"2023-04-03 08:10:11","CONTADOR DELANTERO","","SUBIDAS","","","","11","10","","","","","","100","1","0"
"2023-04-03 08:10:12","CONTADOR DELANTERO","","SUBIDAS","","","","12","10","","","","","","100","1","0"
"2023-04-03 08:10:15","BIA","REGISTRO","","","230","12","","","","0","0","1","0","","",""
"2023-04-03 08:10:22","CONTADOR DELANTERO","","SUBIDAS","","","","13","10","","","","","","100","1","0"
"2023-04-03 08:10:23","BIA","REGISTRO","","","250","13","","","","1","0","0","0","","",""
"2023-04-03 08:10:38","BIA","REGISTRO","","","280","15","","","","0","0","1","0","","",""
"2023-04-03 08:13:08","BIA","REGISTRO","","","300","16","","","","1","0","0","0","","",""
"2023-04-03 08:13:37","BIA","REGISTRO","","","320","17","","","","1","0","0","0","","",""
"2023-04-03 08:13:38","BIA","REGISTRO","","","340","18","","","","1","0","0","0","","",""
"2023-04-03 08:13:43","BIA","REGISTRO","","","360","19","","","","1","0","0","0","","",""
"2023-04-03 08:14:33","BIA","REGISTRO","","","380","20","","","","1","0","0","0","","",""
"2023-04-03 08:14:45","BIA","REGISTRO","","","400","21","","","","1","0","0","0","","",""
"2023-04-03 08:14:47","CONTADOR DELANTERO","","SUBIDAS","","","","14","10","","","","","","100","1","0"
"2023-04-03 08:15:18","BIA","REGISTRO","","","420","22","","","","1","0","0","0","","",""
"2023-04-03 08:15:46","BIA","REGISTRO","","","440","23","","","","1","0","0","0","","",""
"2023-04-03 08:15:47","BIA","REGISTRO","","","460","24","","","","1","0","0","0","","",""
"2023-04-03 08:15:55","BIA","REGISTRO","","","480","25","","","","1","0","0","0","","",""
