"Hora","Dispositivo","Boleto","Evento Contador","Folio de corte","Dinero Total","Conteo Total","Subidas Totales","Bajadas Totales","Tipo Tarifa","Directo","Estudiantes","Tercera Edad","Local","Exactitud","Subidas","Bajadas"
"2023-04-03 07:23:12","CONTADOR DELANTERO","","BAJADAS","","","","191","194","","","","","","","0","1"
"2023-04-03 07:27:47","CONTADOR DELANTERO","","SUBIDAS","","","","192","194","","","","","","","1","0"
"2023-04-03 07:28:03","CONTADOR DELANTERO","","BAJADAS","","","","192","195","","","","","","","0","1"
"2023-04-03 07:31:31","CONTADOR DELANTERO","","SUBIDAS","","","","193","195","","","","","","","1","0"
"2023-04-03 07:32:58","CONTADOR DELANTERO","","RESET","","","","0","0","","","","","","","",""
"2023-04-03 07:35:10","CONTADOR DELANTERO","","BAJADAS","","","","0","1","","","","","","","0","1"
"2023-04-03 07:35:22","CONTADOR DELANTERO","","BAJADAS","","","","0","2","","","","","","","0","1"
"2023-04-03 07:46:06","CONTADOR DELANTERO","","SUBIDAS","","","","1","2","","","","","","","1","0"
"2023-04-03 07:46:12","CONTADOR DELANTERO","","SUBIDAS","","","","2","2","","","","","","","1","0"
"2023-04-03 07:47:44","CONTADOR DELANTERO","","SUBIDAS","","","","3","2","","","","","","","1","0"
"2023-04-03 07:48:26","CONTADOR DELANTERO","","SUBIDAS","","","","4","2","","","","","","","1","0"
"2023-04-03 07:49:06","CONTADOR DELANTERO","","BAJADAS","","","","4","3","","","","","","","0","1"
"2023-04-03 07:49:08","BIA","REGISTRO","","","20","1","","","","1","0","0","0","","",""
"2023-04-03 07:49:18","BIA","REGISTRO","","","40","2","","","","1","0","0","0","","",""
"2023-04-03 07:49:21","BIA","REGISTRO","","","80","4","","","","1","0","0","0","","",""
"2023-04-03 07:49:22","BIA","REGISTRO","","","100","5","","","","1","0","0","0","","",""
"2023-04-03 07:49:54","BIA","REGISTRO","","","120","6","","","","1","0","0","0","","",""
"2023-04-03 07:51:43","BIA","REGISTRO","","","130","7","","","","0","0","1","0","","",""
"2023-04-03 07:51:47","CONTADOR DELANTERO","","SUBIDAS","","","","5","3","","","","","","","1","0"
"2023-04-03 07:52:53","CONTADOR DELANTERO","","SUBIDAS","","","","6","3","","","","","","","1","0"
"2023-04-03 07:52:56","BIA","REGISTRO","","","150","8","","","","1","0","0","0","","",""
"2023-04-03 07:52:59","CONTADOR DELANTERO","","SUBIDAS","","","","7","3","","","","","","","1","0"
