"Hora","Dispositivo","Boleto","Evento Contador","Folio de corte","Dinero Total","Conteo Total","Subidas Totales","Bajadas Totales","Tipo Tarifa","Directo","Estudiantes","Tercera Edad","Local","Exactitud","Subidas","Bajadas"
"2023-04-03 06:25:00","CONTADOR DELANTERO","","SUBIDAS","","","","100","178","","","","","","","1","0"
"2023-04-03 06:28:22","CONTADOR DELANTERO","","BAJADAS","","","","100","179","","","","","","","0","1"
"2023-04-03 06:30:01","CONTADOR DELANTERO","","BAJADAS","","","","100","180","","","","","","","0","1"
"2023-04-03 06:35:12","CONTADOR DELANTERO","","BAJADAS","","","","100","181","","","","","","","0","1"
"2023-04-03 06:39:26","CONTADOR DELANTERO","","RESET","","","","0","0","","","","","","","",""
"2023-04-03 06:41:19","CONTADOR DELANTERO","","BAJADAS","","","","0","1","","","","","","","0","1"
"2023-04-03 06:51:34","CONTADOR DELANTERO","","BAJADAS","","","","0","3","","","","","","","0","1"
"2023-04-03 06:59:58","CONTADOR DELANTERO","","SUBIDAS","","","","2","3","","","","","","","1","0"
"2023-04-03 06:59:58","BIA","REGISTRO","","","20","1","","","","1","0","0","0","","",""
"2023-04-03 07:01:50","CONTADOR DELANTERO","","SUBIDAS","","","","3","3","","","","","","","1","0"
"2023-04-03 07:01:51","BIA","REGISTRO","","","40","2","","","","1","0","0","0","","",""
"2023-04-03 07:02:35","CONTADOR DELANTERO","","SUBIDAS","","","","4","3","","","","","","","1","0"
"2023-04-03 07:03:14","BIA","REGISTRO","","","60","3","","","","1","0","0","0","","",""
"2023-04-03 07:04:29","BIA","REGISTRO","","","80","4","","","","1","0","0","0","","",""
"2023-04-03 07:05:09","BIA","REGISTRO","","","100","5","","","","1","0","0","0","","",""
"2023-04-03 07:05:13","CONTADOR DELANTERO","","SUBIDAS","","","","5","3","","","","","","","1","0"
"2023-04-03 07:05:14","BIA","REGISTRO","","","120","6","","","","1","0","0","0","","",""
"2023-04-03 07:05:41","CONTADOR DELANTERO","","SUBIDAS","","","","6","3","","","","","","","1","0"
"2023-04-03 07:05:41","BIA","REGISTRO","","","140","7","","","","1","0","0","0","","",""
"2023-04-03 07:06:39","CONTADOR DELANTERO","","SUBIDAS","","","","7","3","","","","","","","1","0"
"2023-04-03 07:06:41","BIA","REGISTRO","","","160","8","","","","1","0","0","0","","",""
"2023-04-03 07:06:50","BIA","REGISTRO","","","180","9","","","","1","0","0","0","","",""
"2023-04-03 07:06:53","BIA","REGISTRO","","","200","10","","","","1","0","0","0","","",""
"2023-04-03 07:06:54","CONTADOR DELANTERO","","SUBIDAS","","","","8","3","","","","","","","1","0"
"2023-04-03 07:06:58","BIA","REGISTRO","","","220","11","","","","1","0","0","0","","",""
"2023-04-03 07:07:00","CONTADOR DELANTERO","","SUBIDAS","","","","9","3","","","","","","","1","0"
"2023-04-03 07:07:02","BIA","REGISTRO","","","240","12","","","","1","0","0","0","","",""
"2023-04-03 07:07:04","CONTADOR DELANTERO","","SUBIDAS","","","","10","3","","","","","","","1","0"
"2023-04-03 07:07:05","BIA","REGISTRO","","","250","13","","","","0","0","1","0","","",""
"2023-04-03 07:07:06","CONTADOR DELANTERO","","SUBIDAS","","","","11","3","","","","","","","1","0"
"2023-04-03 07:07:10","BIA","REGISTRO","","","270","14","","","","1","0","0","0","","",""
"2023-04-03 07:07:11","CONTADOR DELANTERO","","SUBIDAS","","","","12","3","","","","","","","1","0"
"2023-04-03 07:07:14","BIA","REGISTRO","","","290","15","","","","1","0","0","0","","",""
"2023-04-03 07:09:14","BIA","REGISTRO","","","310","16","","","","1","0","0","0","","",""
"2023-04-03 07:09:49","CONTADOR DELANTERO","","SUBIDAS","","","","13","3","","","","","","","1","0"
"2023-04-03 07:09:49","BIA","REGISTRO","","","330","17","","","","1","0","0","0","","",""
"2023-04-03 07:10:54","BIA","REGISTRO","","","340","18","","","","0","0","1","0","","",""
"2023-04-03 07:10:58","BIA","REGISTRO","","","360","19","","","","1","0","0","0","","",""
"2023-04-03 07:11:01","CONTADOR DELANTERO","","SUBIDAS","","","","16","3","","","","","","","1","0"
"2023-04-03 07:11:02","BIA","REGISTRO","","","380","20","","","","1","0","0","0","","",""
"2023-04-03 07:12:09","CONTADOR DELANTERO","","SUBIDAS","","","","17","3","","","","","","","1","0"
"2023-04-03 07:12:10","BIA","REGISTRO","","","400","21","","","","1","0","0","0","","",""
"2023-04-03 07:12:13","BIA","REGISTRO","","","420","22","","","","1","0","0","0","","",""
"2023-04-03 07:13:05","BIA","REGISTRO","","","440","23","","","","1","0","0","0","","",""
"2023-04-03 07:13:08","CONTADOR DELANTERO","","SUBIDAS","","","","18","3","","","","","","","1","0"
"2023-04-03 07:14:34","CONTADOR DELANTERO","","BAJADAS","","","","18","4","","","","","","","0","1"
"2023-04-03 07:14:38","CONTADOR DELANTERO","","BAJADAS","","","","18","5","","","","","","","0","1"
"2023-04-03 07:15:12","CONTADOR DELANTERO","","SUBIDAS","","","","19","5","","","","","","","1","0"
"2023-04-03 07:20:23","BIA","REGISTRO","","","460","24","","","","1","0","0","0","","",""
"2023-04-03 07:20:28","CONTADOR DELANTERO","","SUBIDAS","","","","20","5","","","","","","","1","0"
"2023-04-03 07:20:30","BIA","REGISTRO","","","480","25","","","","1","0","0","0","","",""
"2023-04-03 07:20:34","BIA","REGISTRO","","","500","26","","","","1","0","0","0","","",""
"2023-04-03 07:30:06","CONTADOR DELANTERO","","BAJADAS","","","","20","6","","","","","","","0","1"
"2023-04-03 07:30:09","CONTADOR DELANTERO","","BAJADAS","","","","20","7","","","","","","","0","1"
"2023-04-03 07:30:14","CONTADOR DELANTERO","","SUBIDAS","","","","21","7","","","","","","","1","0"
"2023-04-03 07:30:19","BIA","REGISTRO","","","508","27","","","","0","0","0","1","","",""
"2023-04-03 07:30:27","CONTADOR DELANTERO","","SUBIDAS","","","","22","7","","","","","","","1","0"
"2023-04-03 07:30:29","BIA","REGISTRO","","","516","28","","","","0","0","0","1","","",""
"2023-04-03 07:30:38","CONTADOR DELANTERO","","SUBIDAS","","","","23","7","","","","","","","1","0"
"2023-04-03 07:30:54","CONTADOR DELANTERO","","BAJADAS","","","","24","8","","","","","","","0","1"
"2023-04-03 07:33:33","CONTADOR DELANTERO","","BAJADAS","","","","24","9","","","","","","","0","1"
"2023-04-03 07:34:07","CONTADOR DELANTERO","","BAJADAS","","","","24","10","","","","","","","0","1"
"2023-04-03 07:34:11","CONTADOR DELANTERO","","BAJADAS","","","","24","11","","","","","","","0","1"
"2023-04-03 07:35:31","CONTADOR DELANTERO","","BAJADAS","","","","24","12","","","","","","","0","1"
"2023-04-03 07:35:32","CONTADOR DELANTERO","","BAJADAS","","","","24","13","","","","","","","0","1"
"2023-04-03 07:35:33","CONTADOR DELANTERO","","BAJADAS","","","","24","14","","","","","","","0","1"
"2023-04-03 07:35:34","CONTADOR DELANTERO","","BAJADAS","","","","24","15","","","","","","","0","1"
"2023-04-03 07:35:36","CONTADOR DELANTERO","","BAJADAS","","","","24","16","","","","","","","0","1"
"2023-04-03 07:37:10","CONTADOR DELANTERO","","BAJADAS","","","","24","17","","","","","","","0","1"
"2023-04-03 07:37:48","CONTADOR DELANTERO","","BAJADAS","","","","24","18","","","","","","","0","1"
