"Hora","Dispositivo","Boleto","Evento Contador","Folio de corte","Dinero Total","Conteo Total","Subidas Totales","Bajadas Totales","Tipo Tarifa","Directo","Estudiantes","Tercera Edad","Local","Exactitud","Subidas","Bajadas"
"2023-04-03 06:06:39","CONTADOR DELANTERO","","BAJADAS","","","","103","98","","","","","","","0","1"
"2023-04-03 06:06:47","CONTADOR DELANTERO","","SUBIDAS","","","","104","98","","","","","","","1","0"
"2023-04-03 06:06:48","CONTADOR DELANTERO","","SUBIDAS","","","","105","98","","","","","","","1","0"
"2023-04-03 06:14:18","CONTADOR DELANTERO","","RESET","","","","0","0","","","","","","","",""
"2023-04-03 06:14:41","CONTADOR DELANTERO","","BAJADAS","","","","0","1","","","","","","","0","1"
"2023-04-03 06:16:02","CONTADOR DELANTERO","","SUBIDAS","","","","1","1","","","","","","","1","0"
"2023-04-03 06:20:36","CONTADOR DELANTERO","","SUBIDAS","","","","2","2","","","","","","","1","0"
"2023-04-03 06:20:55","CONTADOR DELANTERO","","SUBIDAS","","","","3","2","","","","","","","1","0"
"2023-04-03 06:20:58","BIA","REGISTRO","","","20","1","","","","1","0","0","0","","",""
"2023-04-03 06:21:02","CONTADOR DELANTERO","","SUBIDAS","","","","4","2","","","","","","","1","0"
"2023-04-03 06:21:05","BIA","REGISTRO","","","40","2","","","","1","0","0","0","","",""
"2023-04-03 06:21:15","BIA","REGISTRO","","","60","3","","","","1","0","0","0","","",""
"2023-04-03 06:21:18","CONTADOR DELANTERO","","SUBIDAS","","","","5","2","","","","","","","1","0"
"2023-04-03 06:22:23","CONTADOR DELANTERO","","SUBIDAS","","","","6","2","","","","","","","1","0"
"2023-04-03 06:22:23","BIA","REGISTRO","","","70","4","","","","0","0","1","0","","",""
"2023-04-03 06:23:50","CONTADOR DELANTERO","","SUBIDAS","","","","7","2","","","","","","","1","0"
"2023-04-03 06:23:52","BIA","REGISTRO","","","90","5","","","","1","0","0","0","","",""
"2023-04-03 06:23:53","CONTADOR DELANTERO","","SUBIDAS","","","","8","2","","","","","","","1","0"
"2023-04-03 06:23:57","CONTADOR DELANTERO","","SUBIDAS","","","","9","2","","","","","","","1","0"
"2023-04-03 06:23:58","BIA","REGISTRO","","","110","6","","","","1","0","0","0","","",""
"2023-04-03 06:24:03","BIA","REGISTRO","","","130","7","","","","1","0","0","0","","",""
"2023-04-03 06:25:10","CONTADOR DELANTERO","","SUBIDAS","","","","10","2","","","","","","","1","0"
