"Hora","Dispositivo","Boleto","Evento Contador","Folio de corte","Dinero Total","Conteo Total","Subidas Totales","Bajadas Totales","Tipo Tarifa","Directo","Estudiantes","Tercera Edad","Local","Exactitud","Subidas","Bajadas"
"2023-04-03 07:28:50","CONTADOR DELANTERO","","RESET","","","","0","0","","","","","","","",""
"2023-04-03 07:35:59","CONTADOR DELANTERO","","BAJADAS","","","","0","1","","","","","","","0","1"
"2023-04-03 07:36:24","CONTADOR DELANTERO","","SUBIDAS","","","","1","1","","","","","","","1","0"
"2023-04-03 07:36:41","CONTADOR DELANTERO","","BAJADAS","","","","1","2","","","","","","","0","1"
"2023-04-03 07:39:00","CONTADOR DELANTERO","","SUBIDAS","","","","2","2","","","","","","","1","0"
"2023-04-03 07:41:21","CONTADOR DELANTERO","","SUBIDAS","","","","3","2","","","","","","","1","0"
"2023-04-03 07:41:23","CONTADOR DELANTERO","","SUBIDAS","","","","4","2","","","","","","","1","0"
"2023-04-03 07:41:26","BIA","REGISTRO","","","20","1","","","","1","0","0","0","","",""
"2023-04-03 07:41:27","BIA","REGISTRO","","","40","2","","","","1","0","0","0","","",""
"2023-04-03 07:41:35","CONTADOR DELANTERO","","SUBIDAS","","","","5","2","","","","","","","1","0"
"2023-04-03 07:41:38","BIA","REGISTRO","","","60","3","","","","1","0","0","0","","",""
"2023-04-03 07:41:39","CONTADOR DELANTERO","","SUBIDAS","","","","6","2","","","","","","","1","0"
"2023-04-03 07:42:12","BIA","REGISTRO","","","80","4","","","","1","0","0","0","","",""
"2023-04-03 07:42:16","CONTADOR DELANTERO","","SUBIDAS","","","","7","2","","","","","","","1","0"
"2023-04-03 07:42:17","BIA","REGISTRO","","","90","5","","","","0","0","1","0","","",""
"2023-04-03 07:42:36","BIA","REGISTRO","","","110","6","","","","1","0","0","0","","",""
"2023-04-03 07:43:30","CONTADOR DELANTERO","","SUBIDAS","","","","8","2","","","","","","","1","0"
"2023-04-03 07:43:32","BIA","REGISTRO","","","130","7","","","","1","0","0","0","","",""
"2023-04-03 07:44:34","CONTADOR DELANTERO","","SUBIDAS","","","","9","2","","","","","","","1","0"
"2023-04-03 07:44:37","BIA","REGISTRO","","","150","8","","","","1","0","0","0","","",""
"2023-04-03 07:45:54","BIA","REGISTRO","","","170","9","","","","1","0","0","0","","",""
"2023-04-03 07:46:02","CONTADOR DELANTERO","","SUBIDAS","","","","10","2","","","","","","","1","0"
"2023-04-03 07:46:05","BIA","REGISTRO","","","190","10","","","","1","0","0","0","","",""
"2023-04-03 07:46:43","CONTADOR DELANTERO","","SUBIDAS","","","","11","2","","","","","","","1","0"
"2023-04-03 07:46:43","BIA","REGISTRO","","","210","11","","","","1","0","0","0","","",""
"2023-04-03 07:47:00","CONTADOR DELANTERO","","SUBIDAS","","","","12","2","","","","","","","1","0"
"2023-04-03 07:47:01","BIA","REGISTRO","","","218","12","","","","0","0","0","1","","",""
"2023-04-03 07:47:05","BIA","REGISTRO","","","238","13","","","","1","0","0","0","","",""
"2023-04-03 07:47:12","BIA","REGISTRO","","","258","14","","","","1","0","0","0","","",""
"2023-04-03 07:47:48","CONTADOR DELANTERO","","SUBIDAS","","","","13","2","","","","","","","1","0"
"2023-04-03 07:47:48","BIA","REGISTRO","","","266","15","","","","0","0","0","1","","",""
"2023-04-03 07:48:17","CONTADOR DELANTERO","","SUBIDAS","","","","14","2","","","","","","","1","0"
"2023-04-03 07:48:17","BIA","REGISTRO","","","286","16","","","","1","0","0","0","","",""
"2023-04-03 07:49:32","CONTADOR DELANTERO","","SUBIDAS","","","","15","2","","","","","","","1","0"
"2023-04-03 07:49:34","BIA","REGISTRO","","","296","17","","","","0","0","1","0","","",""
"2023-04-03 07:52:19","BIA","REGISTRO","","","316","18","","","","1","0","0","0","","",""
"2023-04-03 07:52:26","BIA","REGISTRO","","","336","19","","","","1","0","0","0","","",""
"2023-04-03 07:52:29","CONTADOR DELANTERO","","SUBIDAS","","","","16","2","","","","","","","1","0"
"2023-04-03 07:52:36","BIA","REGISTRO","","","356","20","","","","1","0","0","0","","",""
"2023-04-03 07:52:38","CONTADOR DELANTERO","","SUBIDAS","","","","18","2","","","","","","","1","0"
"2023-04-03 07:52:41","BIA","REGISTRO","","","366","21","","","","0","0","1","0","","",""
"2023-04-03 07:52:43","CONTADOR DELANTERO","","SUBIDAS","","","","19","2","","","","","","","1","0"
"2023-04-03 07:52:46","BIA","REGISTRO","","","381","22","","","","0","1","0","0","","",""
"2023-04-03 07:52:49","BIA","REGISTRO","","","401","23","","","","1","0","0","0","","",""
"2023-04-03 07:52:50","CONTADOR DELANTERO","","SUBIDAS","","","","20","2","","","","","","","1","0"
"2023-04-03 07:52:53","CONTADOR DELANTERO","","SUBIDAS","","","","21","2","","","","","","","1","0"
"2023-04-03 07:53:26","CONTADOR DELANTERO","","BAJADAS","","","","21","3","","","","","","","0","1"
"2023-04-03 07:55:07","BIA","REGISTRO","","","421","24","","","","1","0","0","0","","",""
"2023-04-03 07:55:34","CONTADOR DELANTERO","","SUBIDAS","","","","22","3","","","","","","","1","0"
"2023-04-03 07:55:47","BIA","REGISTRO","","","431","25","","","","0","0","1","0","","",""
"2023-04-03 07:56:11","BIA","REGISTRO","","","451","26","","","","1","0","0","0","","",""
"2023-04-03 07:56:17","CONTADOR DELANTERO","","SUBIDAS","","","","23","3","","","","","","","1","0"
"2023-04-03 07:56:51","CONTADOR DELANTERO","","SUBIDAS","","","","24","3","","","","","","","1","0"
"2023-04-03 07:58:06","CONTADOR DELANTERO","","SUBIDAS","","","","25","3","","","","","","","1","0"
"2023-04-03 07:58:08","BIA","REGISTRO","","","471","27","","","","1","0","0","0","","",""
"2023-04-03 07:58:42","CONTADOR DELANTERO","","SUBIDAS","","","","26","3","","","","","","","1","0"
"2023-04-03 08:00:37","CONTADOR DELANTERO","","BAJADAS","","","","26","4","","","","","","","0","1"
"2023-04-03 08:00:39","CONTADOR DELANTERO","","BAJADAS","","","","26","5","","","","","","","0","1"
"2023-04-03 08:00:46","BIA","REGISTRO","","","491","28","","","","1","0","0","0","","",""
"2023-04-03 08:00:55","BIA","REGISTRO","","","511","29","","","","1","0","0","0","","",""
"2023-04-03 08:08:02","CONTADOR DELANTERO","","BAJADAS","","","","26","6","","","","","","","0","1"
"2023-04-03 08:08:25","CONTADOR DELANTERO","","BAJADAS","","","","26","7","","","","","","","0","1"
"2023-04-03 08:09:26","CONTADOR DELANTERO","","BAJADAS","","","","26","8","","","","","","","0","1"
"2023-04-03 08:10:23","CONTADOR DELANTERO","","BAJADAS","","","","26","9","","","","","","","0","1"
"2023-04-03 08:10:28","CONTADOR DELANTERO","","BAJADAS","","","","26","10","","","","","","","0","1"
"2023-04-03 08:11:22","CONTADOR DELANTERO","","BAJADAS","","","","26","11","","","","","","","0","1"
"2023-04-03 08:11:24","CONTADOR DELANTERO","","BAJADAS","","","","26","12","","","","","","","0","1"
"2023-04-03 08:12:26","CONTADOR DELANTERO","","BAJADAS","","","","26","13","","","","","","","0","1"
"2023-04-03 08:13:35","CONTADOR DELANTERO","","BAJADAS","","","","26","14","","","","","","","0","1"
"2023-04-03 08:13:38","CONTADOR DELANTERO","","BAJADAS","","","","26","15","","","","","","","0","1"
"2023-04-03 08:15:17","CONTADOR DELANTERO","","BAJADAS","","","","26","17","","","","","","","0","1"
"2023-04-03 08:15:21","CONTADOR DELANTERO","","BAJADAS","","","","26","18","","","","","","","0","1"
"2023-04-03 08:16:32","CONTADOR DELANTERO","","BAJADAS","","","","26","19","","","","","","","0","1"
"2023-04-03 08:19:02","CONTADOR DELANTERO","","BAJADAS","","","","26","20","","","","","","","0","1"
"2023-04-03 08:19:09","CONTADOR DELANTERO","","BAJADAS","","","","26","21","","","","","","","0","1"
"2023-04-03 08:28:42","CONTADOR DELANTERO","","BAJADAS","","","","26","22","","","","","","","0","1"
"2023-04-03 08:28:45","CONTADOR DELANTERO","","BAJADAS","","","","26","23","","","","","","","0","1"
"2023-04-03 08:28:47","CONTADOR DELANTERO","","BAJADAS","","","","26","24","","","","","","","0","1"
"2023-04-03 08:29:56","CONTADOR DELANTERO","","BAJADAS","","","","26","25","","","","","","","0","1"
"2023-04-03 08:30:01","CONTADOR DELANTERO","","BAJADAS","","","","26","26","","","","","","","0","1"
