"Hora","Dispositivo","Boleto","Evento Contador","Folio de corte","Dinero Total","Conteo Total","Subidas Totales","Bajadas Totales","Tipo Tarifa","Directo","Estudiantes","Tercera Edad","Local","Exactitud","Subidas","Bajadas"
"2023-04-03 06:19:40","CONTADOR DELANTERO","","BAJADAS","","","","203","269","","","","","","","0","1"
"2023-04-03 06:21:21","CONTADOR DELANTERO","","BAJADAS","","","","203","270","","","","","","","0","1"
"2023-04-03 06:31:35","CONTADOR DELANTERO","","BAJADAS","","","","203","271","","","","","","","0","1"
"2023-04-03 06:31:37","CONTADOR DELANTERO","","BAJADAS","","","","203","272","","","","","","","0","1"
"2023-04-03 06:31:47","CONTADOR DELANTERO","","RESET","","","","0","0","","","","","","","",""
"2023-04-03 06:32:25","CONTADOR DELANTERO","","SUBIDAS","","","","1","0","","","","","","","1","0"
"2023-04-03 06:33:11","CONTADOR DELANTERO","","BAJADAS","","","","2","2","","","","","","","0","1"
"2023-04-03 06:33:50","CONTADOR DELANTERO","","BAJADAS","","","","2","3","","","","","","","0","1"
"2023-04-03 06:34:40","CONTADOR DELANTERO","","SUBIDAS","","","","3","3","","","","","","","1","0"
"2023-04-03 06:38:39","CONTADOR DELANTERO","","BAJADAS","","","","3","4","","","","","","","0","1"
"2023-04-03 06:44:57","CONTADOR DELANTERO","","SUBIDAS","","","","4","4","","","","","","","1","0"
"2023-04-03 06:45:01","BIA","REGISTRO","","","20","1","","","","1","0","0","0","","",""
"2023-04-03 06:45:02","CONTADOR DELANTERO","","SUBIDAS","","","","5","4","","","","","","","1","0"
"2023-04-03 06:45:06","BIA","REGISTRO","","","40","2","","","","1","0","0","0","","",""
"2023-04-03 06:45:09","CONTADOR DELANTERO","","SUBIDAS","","","","6","4","","","","","","","1","0"
"2023-04-03 06:45:10","BIA","REGISTRO","","","60","3","","","","1","0","0","0","","",""
"2023-04-03 06:45:58","CONTADOR DELANTERO","","SUBIDAS","","","","7","4","","","","","","","1","0"
"2023-04-03 06:45:58","BIA","REGISTRO","","","80","4","","","","1","0","0","0","","",""
"2023-04-03 06:46:29","CONTADOR DELANTERO","","SUBIDAS","","","","8","4","","","","","","","1","0"
"2023-04-03 06:46:30","BIA","REGISTRO","","","100","5","","","","1","0","0","0","","",""
"2023-04-03 06:47:37","CONTADOR DELANTERO","","SUBIDAS","","","","9","4","","","","","","","1","0"
"2023-04-03 06:47:37","BIA","REGISTRO","","","120","6","","","","1","0","0","0","","",""
"2023-04-03 06:48:04","CONTADOR DELANTERO","","SUBIDAS","","","","10","4","","","","","","","1","0"
"2023-04-03 06:48:04","BIA","REGISTRO","","","140","7","","","","1","0","0","0","","",""
"2023-04-03 06:49:10","BIA","REGISTRO","","","160","8","","","","1","0","0","0","","",""
"2023-04-03 06:49:14","BIA","REGISTRO","","","180","9","","","","1","0","0","0","","",""
"2023-04-03 06:49:45","CONTADOR DELANTERO","","SUBIDAS","","","","11","4","","","","","","","1","0"
"2023-04-03 06:49:45","BIA","REGISTRO","","","200","10","","","","1","0","0","0","","",""
"2023-04-03 06:50:56","BIA","REGISTRO","","","210","11","","","","0","0","1","0","","",""
"2023-04-03 06:51:58","CONTADOR DELANTERO","","SUBIDAS","","","","12","4","","","","","","","1","0"
"2023-04-03 06:51:58","BIA","REGISTRO","","","230","12","","","","1","0","0","0","","",""
"2023-04-03 06:52:56","CONTADOR DELANTERO","","SUBIDAS","","","","13","4","","","","","","","1","0"
"2023-04-03 06:52:58","CONTADOR DELANTERO","","SUBIDAS","","","","14","4","","","","","","","1","0"
"2023-04-03 06:52:58","BIA","REGISTRO","","","250","13","","","","1","0","0","0","","",""
"2023-04-03 06:52:59","BIA","REGISTRO","","","270","14","","","","1","0","0","0","","",""
"2023-04-03 06:53:36","CONTADOR DELANTERO","","SUBIDAS","","","","15","4","","","","","","","1","0"
"2023-04-03 06:53:38","BIA","REGISTRO","","","290","15","","","","1","0","0","0","","",""
"2023-04-03 06:54:27","CONTADOR DELANTERO","","SUBIDAS","","","","16","4","","","","","","","1","0"
"2023-04-03 06:54:28","BIA","REGISTRO","","","300","16","","","","0","0","1","0","","",""
"2023-04-03 06:54:52","CONTADOR DELANTERO","","SUBIDAS","","","","17","4","","","","","","","1","0"
"2023-04-03 06:54:53","BIA","REGISTRO","","","320","17","","","","1","0","0","0","","",""
"2023-04-03 06:55:24","CONTADOR DELANTERO","","SUBIDAS","","","","18","4","","","","","","","1","0"
"2023-04-03 06:55:30","BIA","REGISTRO","","","340","18","","","","1","0","0","0","","",""
"2023-04-03 06:55:31","BIA","REGISTRO","","","350","19","","","","0","0","1","0","","",""
"2023-04-03 06:55:32","CONTADOR DELANTERO","","SUBIDAS","","","","19","4","","","","","","","1","0"
"2023-04-03 06:55:34","CONTADOR DELANTERO","","SUBIDAS","","","","20","4","","","","","","","1","0"
"2023-04-03 06:55:40","BIA","REGISTRO","","","370","20","","","","1","0","0","0","","",""
"2023-04-03 06:56:44","CONTADOR DELANTERO","","SUBIDAS","","","","21","4","","","","","","","1","0"
"2023-04-03 06:57:11","CONTADOR DELANTERO","","BAJADAS","","","","21","5","","","","","","","0","1"
"2023-04-03 06:59:15","CONTADOR DELANTERO","","SUBIDAS","","","","22","5","","","","","","","1","0"
"2023-04-03 06:59:21","BIA","REGISTRO","","","390","21","","","","1","0","0","0","","",""
"2023-04-03 07:05:59","CONTADOR DELANTERO","","SUBIDAS","","","","23","5","","","","","","","1","0"
"2023-04-03 07:06:01","CONTADOR DELANTERO","","SUBIDAS","","","","24","5","","","","","","","1","0"
"2023-04-03 07:06:02","BIA","REGISTRO","","","400","22","","","","0","0","1","0","","",""
"2023-04-03 07:06:07","BIA","REGISTRO","","","410","23","","","","0","0","1","0","","",""
"2023-04-03 07:10:57","CONTADOR DELANTERO","","BAJADAS","","","","24","6","","","","","","","0","1"
"2023-04-03 07:11:02","CONTADOR DELANTERO","","BAJADAS","","","","24","7","","","","","","","0","1"
"2023-04-03 07:11:19","CONTADOR DELANTERO","","BAJADAS","","","","24","8","","","","","","","0","1"
"2023-04-03 07:16:03","CONTADOR DELANTERO","","BAJADAS","","","","24","10","","","","","","","0","1"
"2023-04-03 07:16:06","CONTADOR DELANTERO","","BAJADAS","","","","24","11","","","","","","","0","1"
"2023-04-03 07:16:08","CONTADOR DELANTERO","","BAJADAS","","","","24","12","","","","","","","0","1"
"2023-04-03 07:17:27","CONTADOR DELANTERO","","BAJADAS","","","","24","13","","","","","","","0","1"
"2023-04-03 07:17:30","CONTADOR DELANTERO","","BAJADAS","","","","24","14","","","","","","","0","1"
"2023-04-03 07:20:56","CONTADOR DELANTERO","","BAJADAS","","","","24","15","","","","","","","0","1"
"2023-04-03 07:21:01","CONTADOR DELANTERO","","BAJADAS","","","","24","16","","","","","","","0","1"
"2023-04-03 07:21:03","CONTADOR DELANTERO","","BAJADAS","","","","24","17","","","","","","","0","1"
"2023-04-03 07:24:05","CONTADOR DELANTERO","","BAJADAS","","","","24","18","","","","","","","0","1"
"2023-04-03 07:27:33","CONTADOR DELANTERO","","BAJADAS","","","","24","19","","","","","","","0","1"
"2023-04-03 07:27:37","BIA","REGISTRO","","","418","24","","","","0","0","0","1","","",""
"2023-04-03 07:29:08","CONTADOR DELANTERO","","SUBIDAS","","","","25","19","","","","","","","1","0"
"2023-04-03 07:29:10","BIA","REGISTRO","","","426","25","","","","0","0","0","1","","",""
"2023-04-03 07:32:29","CONTADOR DELANTERO","","BAJADAS","","","","25","20","","","","","","","0","1"
