"Hora","Dispositivo","Boleto","Evento Contador","Folio de corte","Dinero Total","Conteo Total","Subidas Totales","Bajadas Totales","Tipo Tarifa","Directo","Estudiantes","Tercera Edad","Local","Exactitud","Subidas","Bajadas"
"2023-04-04 05:26:40","CONTADOR DELANTERO","","BAJADAS","","","","196","183","","","","","","","0","1"
"2023-04-04 05:28:34","CONTADOR DELANTERO","","BAJADAS","","","","196","184","","","","","","","0","1"
"2023-04-04 06:59:46","CONTADOR DELANTERO","","BAJADAS","","","","196","185","","","","","","","0","1"
"2023-04-04 07:02:06","CONTADOR DELANTERO","","SUBIDAS","","","","197","185","","","","","","","1","0"
"2023-04-04 07:02:36","CONTADOR DELANTERO","","BAJADAS","","","","197","186","","","","","","","0","1"
"2023-04-04 07:06:15","CONTADOR DELANTERO","","SUBIDAS","","","","198","186","","","","","","","1","0"
"2023-04-04 07:06:24","CONTADOR DELANTERO","","SUBIDAS","","","","199","186","","","","","","","1","0"
"2023-04-04 07:13:19","CONTADOR DELANTERO","","BAJADAS","","","","199","187","","","","","","","0","1"
"2023-04-04 07:14:16","CONTADOR DELANTERO","","RESET","","","","0","0","","","","","","","",""
"2023-04-04 07:18:37","CONTADOR DELANTERO","","BAJADAS","","","","0","1","","","","","","","0","1"
"2023-04-04 07:20:56","CONTADOR DELANTERO","","SUBIDAS","","","","1","1","","","","","","","1","0"
"2023-04-04 07:21:32","CONTADOR DELANTERO","","BAJADAS","","","","1","2","","","","","","","0","1"
"2023-04-04 07:23:04","CONTADOR DELANTERO","","BAJADAS","","","","1","3","","","","","","","0","1"
"2023-04-04 07:23:30","CONTADOR DELANTERO","","BAJADAS","","","","1","4","","","","","","","0","1"
"2023-04-04 07:24:11","CONTADOR DELANTERO","","SUBIDAS","","","","2","4","","","","","","","1","0"
"2023-04-04 07:25:44","CONTADOR DELANTERO","","BAJADAS","","","","2","5","","","","","","","0","1"
"2023-04-04 07:26:38","CONTADOR DELANTERO","","SUBIDAS","","","","3","5","","","","","","","1","0"
"2023-04-04 07:26:45","CONTADOR DELANTERO","","BAJADAS","","","","3","6","","","","","","","0","1"
"2023-04-04 07:32:45","CONTADOR DELANTERO","","SUBIDAS","","","","4","6","","","","","","","1","0"
"2023-04-04 07:38:51","CONTADOR DELANTERO","","SUBIDAS","","","","5","6","","","","","","","1","0"
"2023-04-04 07:40:00","CONTADOR DELANTERO","","SUBIDAS","","","","6","6","","","","","","","1","0"
"2023-04-04 07:40:02","CONTADOR DELANTERO","","SUBIDAS","","","","7","6","","","","","","","1","0"
"2023-04-04 07:40:06","CONTADOR DELANTERO","","SUBIDAS","","","","8","6","","","","","","","1","0"
"2023-04-04 07:40:11","CONTADOR DELANTERO","","SUBIDAS","","","","9","6","","","","","","","1","0"
"2023-04-04 07:40:23","BIA","REGISTRO","","","20","1","","","","1","0","0","0","","",""
"2023-04-04 07:40:25","CONTADOR DELANTERO","","SUBIDAS","","","","10","6","","","","","","","1","0"
"2023-04-04 07:40:28","BIA","REGISTRO","","","30","2","","","","0","0","1","0","","",""
"2023-04-04 07:40:29","BIA","REGISTRO","","","50","3","","","","1","0","0","0","","",""
"2023-04-04 07:40:32","BIA","REGISTRO","","","70","4","","","","1","0","0","0","","",""
"2023-04-04 07:40:40","BIA","REGISTRO","","","90","5","","","","1","0","0","0","","",""
"2023-04-04 07:42:34","BIA","REGISTRO","","","110","6","","","","1","0","0","0","","",""
"2023-04-04 07:43:22","CONTADOR DELANTERO","","SUBIDAS","","","","11","6","","","","","","","1","0"
"2023-04-04 07:43:22","BIA","REGISTRO","","","130","7","","","","1","0","0","0","","",""
"2023-04-04 07:43:24","CONTADOR DELANTERO","","SUBIDAS","","","","12","6","","","","","","","1","0"
"2023-04-04 07:43:27","BIA","REGISTRO","","","150","8","","","","1","0","0","0","","",""
"2023-04-04 07:44:00","CONTADOR DELANTERO","","SUBIDAS","","","","13","6","","","","","","","1","0"
"2023-04-04 07:44:00","BIA","REGISTRO","","","160","9","","","","0","0","1","0","","",""
"2023-04-04 07:44:03","CONTADOR DELANTERO","","SUBIDAS","","","","14","6","","","","","","","1","0"
"2023-04-04 07:44:07","BIA","REGISTRO","","","180","10","","","","1","0","0","0","","",""
"2023-04-04 07:44:10","CONTADOR DELANTERO","","SUBIDAS","","","","15","6","","","","","","","1","0"
"2023-04-04 07:44:11","BIA","REGISTRO","","","188","11","","","","0","0","0","1","","",""
"2023-04-04 07:44:44","CONTADOR DELANTERO","","SUBIDAS","","","","16","6","","","","","","","1","0"
"2023-04-04 07:44:47","BIA","REGISTRO","","","208","12","","","","1","0","0","0","","",""
"2023-04-04 07:45:34","CONTADOR DELANTERO","","SUBIDAS","","","","17","6","","","","","","","1","0"
"2023-04-04 07:45:35","BIA","REGISTRO","","","216","13","","","","0","0","0","1","","",""
"2023-04-04 07:47:30","CONTADOR DELANTERO","","SUBIDAS","","","","18","6","","","","","","","1","0"
"2023-04-04 07:47:32","BIA","REGISTRO","","","231","14","","","","0","1","0","0","","",""
"2023-04-04 07:47:39","CONTADOR DELANTERO","","SUBIDAS","","","","19","6","","","","","","","1","0"
"2023-04-04 07:47:40","BIA","REGISTRO","","","251","15","","","","1","0","0","0","","",""
"2023-04-04 07:48:20","CONTADOR DELANTERO","","SUBIDAS","","","","20","6","","","","","","","1","0"
"2023-04-04 07:48:21","BIA","REGISTRO","","","271","16","","","","1","0","0","0","","",""
"2023-04-04 07:48:22","CONTADOR DELANTERO","","SUBIDAS","","","","21","6","","","","","","","1","0"
