"Hora","Dispositivo","Boleto","Evento Contador","Folio de corte","Dinero Total","Conteo Total","Subidas Totales","Bajadas Totales","Tipo Tarifa","Directo","Estudiantes","Tercera Edad","Local","Exactitud","Subidas","Bajadas"
"2023-04-04 06:24:25","CONTADOR DELANTERO","","SUBIDAS","","","","68","116","","","","","","","1","0"
"2023-04-04 06:33:09","CONTADOR DELANTERO","","BAJADAS","","","","68","117","","","","","","","0","1"
"2023-04-04 06:36:32","CONTADOR DELANTERO","","SUBIDAS","","","","69","117","","","","","","","1","0"
"2023-04-04 06:36:41","CONTADOR DELANTERO","","BAJADAS","","","","69","118","","","","","","","0","1"
"2023-04-04 06:49:16","CONTADOR DELANTERO","","SUBIDAS","","","","70","118","","","","","","","1","0"
"2023-04-04 06:49:49","CONTADOR DELANTERO","","BAJADAS","","","","70","120","","","","","","","0","1"
"2023-04-04 06:54:52","CONTADOR DELANTERO","","BAJADAS","","","","70","121","","","","","","","0","1"
"2023-04-04 06:56:26","CONTADOR DELANTERO","","BAJADAS","","","","70","123","","","","","","","0","1"
"2023-04-04 06:58:03","CONTADOR DELANTERO","","BAJADAS","","","","70","124","","","","","","","0","1"
"2023-04-04 07:02:32","CONTADOR DELANTERO","","SUBIDAS","","","","71","124","","","","","","","1","0"
"2023-04-04 07:06:02","CONTADOR DELANTERO","","BAJADAS","","","","71","125","","","","","","","0","1"
"2023-04-04 07:06:52","CONTADOR DELANTERO","","RESET","","","","0","0","","","","","","","",""
"2023-04-04 07:19:51","CONTADOR DELANTERO","","SUBIDAS","","","","1","0","","","","","","","1","0"
"2023-04-04 07:22:16","CONTADOR DELANTERO","","SUBIDAS","","","","2","0","","","","","","","1","0"
"2023-04-04 07:23:08","CONTADOR DELANTERO","","BAJADAS","","","","2","1","","","","","","","0","1"
"2023-04-04 07:58:05","CONTADOR DELANTERO","","SUBIDAS","","","","3","1","","","","","","","1","0"
"2023-04-04 08:02:10","BIA","REGISTRO","","","20","1","","","","1","0","0","0","","",""
"2023-04-04 08:02:11","CONTADOR DELANTERO","","SUBIDAS","","","","4","1","","","","","","","1","0"
"2023-04-04 08:03:20","BIA","REGISTRO","","","40","2","","","","1","0","0","0","","",""
"2023-04-04 08:03:32","CONTADOR DELANTERO","","SUBIDAS","","","","5","1","","","","","","","1","0"
"2023-04-04 08:03:35","CONTADOR DELANTERO","","SUBIDAS","","","","6","1","","","","","","","1","0"
"2023-04-04 08:03:37","BIA","REGISTRO","","","60","3","","","","1","0","0","0","","",""
"2023-04-04 08:03:39","CONTADOR DELANTERO","","SUBIDAS","","","","8","1","","","","","","","1","0"
"2023-04-04 08:04:19","CONTADOR DELANTERO","","SUBIDAS","","","","11","1","","","","","","","1","0"
"2023-04-04 08:04:22","BIA","REGISTRO","","","75","4","","","","0","1","0","0","","",""
"2023-04-04 08:04:56","CONTADOR DELANTERO","","SUBIDAS","","","","12","1","","","","","","","1","0"
"2023-04-04 08:04:58","BIA","REGISTRO","","","95","5","","","","1","0","0","0","","",""
"2023-04-04 08:05:36","CONTADOR DELANTERO","","SUBIDAS","","","","13","1","","","","","","","1","0"
"2023-04-04 08:05:37","BIA","REGISTRO","","","115","6","","","","1","0","0","0","","",""
"2023-04-04 08:06:59","CONTADOR DELANTERO","","SUBIDAS","","","","14","1","","","","","","","1","0"
"2023-04-04 08:07:00","BIA","REGISTRO","","","135","7","","","","1","0","0","0","","",""
"2023-04-04 08:07:01","CONTADOR DELANTERO","","SUBIDAS","","","","15","1","","","","","","","1","0"
"2023-04-04 08:07:03","BIA","REGISTRO","","","155","8","","","","1","0","0","0","","",""
"2023-04-04 08:07:36","CONTADOR DELANTERO","","SUBIDAS","","","","16","1","","","","","","","1","0"
"2023-04-04 08:07:37","BIA","REGISTRO","","","175","9","","","","1","0","0","0","","",""
"2023-04-04 08:08:09","BIA","REGISTRO","","","195","10","","","","1","0","0","0","","",""
"2023-04-04 08:08:14","BIA","REGISTRO","","","215","11","","","","1","0","0","0","","",""
"2023-04-04 08:09:51","CONTADOR DELANTERO","","SUBIDAS","","","","17","1","","","","","","","1","0"
"2023-04-04 08:09:52","BIA","REGISTRO","","","235","12","","","","1","0","0","0","","",""
