"Hora","Dispositivo","Boleto","Evento Contador","Folio de corte","Dinero Total","Conteo Total","Subidas Totales","Bajadas Totales","Tipo Tarifa","Directo","Estudiantes","Tercera Edad","Local","Exactitud","Subidas","Bajadas"
"2023-04-04 05:23:08","CONTADOR DELANTERO","","BAJADAS","","","","173","231","","","","","","","0","1"
"2023-04-04 05:25:44","CONTADOR DELANTERO","","SUBIDAS","","","","174","231","","","","","","","1","0"
"2023-04-04 05:40:22","CONTADOR DELANTERO","","BAJADAS","","","","174","232","","","","","","","0","1"
"2023-04-04 05:40:24","CONTADOR DELANTERO","","BAJADAS","","","","174","233","","","","","","","0","1"
"2023-04-04 05:45:07","CONTADOR DELANTERO","","RESET","","","","0","0","","","","","","","",""
"2023-04-04 05:45:44","CONTADOR DELANTERO","","SUBIDAS","","","","1","0","","","","","","","1","0"
"2023-04-04 05:49:26","CONTADOR DELANTERO","","BAJADAS","","","","1","1","","","","","","","0","1"
"2023-04-04 05:51:12","CONTADOR DELANTERO","","SUBIDAS","","","","2","1","","","","","","","1","0"
"2023-04-04 05:52:51","BIA","REGISTRO","","","20","1","","","","1","0","0","0","","",""
"2023-04-04 05:53:09","CONTADOR DELANTERO","","BAJADAS","","","","2","2","","","","","","","0","1"
"2023-04-04 05:55:46","CONTADOR DELANTERO","","SUBIDAS","","","","3","2","","","","","","","1","0"
"2023-04-04 05:55:48","CONTADOR DELANTERO","","SUBIDAS","","","","4","2","","","","","","","1","0"
"2023-04-04 05:55:52","BIA","REGISTRO","","","40","2","","","","1","0","0","0","","",""
"2023-04-04 05:55:54","BIA","REGISTRO","","","60","3","","","","1","0","0","0","","",""
"2023-04-04 05:56:21","BIA","REGISTRO","","","80","4","","","","1","0","0","0","","",""
"2023-04-04 05:56:23","CONTADOR DELANTERO","","SUBIDAS","","","","5","2","","","","","","","1","0"
"2023-04-04 05:56:37","CONTADOR DELANTERO","","SUBIDAS","","","","6","2","","","","","","","1","0"
"2023-04-04 05:56:38","BIA","REGISTRO","","","100","5","","","","1","0","0","0","","",""
"2023-04-04 05:57:04","CONTADOR DELANTERO","","SUBIDAS","","","","7","2","","","","","","","1","0"
"2023-04-04 05:57:11","CONTADOR DELANTERO","","SUBIDAS","","","","8","2","","","","","","","1","0"
