"Hora","Dispositivo","Boleto","Evento Contador","Folio de corte","Dinero Total","Conteo Total","Subidas Totales","Bajadas Totales","Tipo Tarifa","Directo","Estudiantes","Tercera Edad","Local","Exactitud","Subidas","Bajadas"
"2023-04-04 06:39:53","CONTADOR DELANTERO","","RESET","","","","0","0","","","","","","","",""
"2023-04-04 06:40:05","CONTADOR DELANTERO","","BAJADAS","","","","0","1","","","","","","","0","1"
"2023-04-04 06:44:49","CONTADOR DELANTERO","","SUBIDAS","","","","1","1","","","","","","","1","0"
"2023-04-04 06:45:44","CONTADOR DELANTERO","","SUBIDAS","","","","2","1","","","","","","","1","0"
"2023-04-04 06:45:48","CONTADOR DELANTERO","","SUBIDAS","","","","3","1","","","","","","","1","0"
"2023-04-04 06:45:48","BIA","REGISTRO","","","20","1","","","","1","0","0","0","","",""
"2023-04-04 06:45:50","CONTADOR DELANTERO","","SUBIDAS","","","","4","1","","","","","","","1","0"
"2023-04-04 06:45:53","BIA","REGISTRO","","","40","2","","","","1","0","0","0","","",""
"2023-04-04 06:45:59","BIA","REGISTRO","","","60","3","","","","1","0","0","0","","",""
"2023-04-04 06:46:02","CONTADOR DELANTERO","","SUBIDAS","","","","5","1","","","","","","","1","0"
"2023-04-04 06:46:03","BIA","REGISTRO","","","80","4","","","","1","0","0","0","","",""
"2023-04-04 06:46:42","BIA","REGISTRO","","","100","5","","","","1","0","0","0","","",""
"2023-04-04 06:46:47","CONTADOR DELANTERO","","SUBIDAS","","","","6","1","","","","","","","1","0"
"2023-04-04 06:47:23","BIA","REGISTRO","","","120","6","","","","1","0","0","0","","",""
"2023-04-04 06:47:49","BIA","REGISTRO","","","140","7","","","","1","0","0","0","","",""
"2023-04-04 06:47:53","BIA","REGISTRO","","","160","8","","","","1","0","0","0","","",""
"2023-04-04 06:47:57","BIA","REGISTRO","","","170","9","","","","0","0","1","0","","",""
"2023-04-04 06:48:37","CONTADOR DELANTERO","","SUBIDAS","","","","7","1","","","","","","","1","0"
"2023-04-04 06:49:06","BIA","REGISTRO","","","190","10","","","","1","0","0","0","","",""
"2023-04-04 06:49:07","CONTADOR DELANTERO","","SUBIDAS","","","","8","1","","","","","","","1","0"
"2023-04-04 06:49:10","BIA","REGISTRO","","","210","11","","","","1","0","0","0","","",""
