"Hora","Dispositivo","Boleto","Evento Contador","Folio de corte","Dinero Total","Conteo Total","Subidas Totales","Bajadas Totales","Tipo Tarifa","Directo","Estudiantes","Tercera Edad","Local","Exactitud","Subidas","Bajadas"
"2023-04-04 00:23:33","CONTADOR DELANTERO","","SUBIDAS","","","","313","274","","","","","","","1","0"
"2023-04-04 00:24:04","CONTADOR DELANTERO","","BAJADAS","","","","312","274","","","","","","","0","1"
"2023-04-04 06:13:07","CONTADOR DELANTERO","","BAJADAS","","","","313","275","","","","","","","0","1"
"2023-04-04 06:14:08","CONTADOR DELANTERO","","SUBIDAS","","","","314","275","","","","","","","1","0"
"2023-04-04 06:17:40","CONTADOR DELANTERO","","RESET","","","","0","0","","","","","","","",""
"2023-04-04 06:18:09","CONTADOR DELANTERO","","BAJADAS","","","","0","1","","","","","","","0","1"
"2023-04-04 06:24:29","CONTADOR DELANTERO","","SUBIDAS","","","","1","1","","","","","","","1","0"
"2023-04-04 06:24:49","CONTADOR DELANTERO","","BAJADAS","","","","1","2","","","","","","","0","1"
"2023-04-04 06:26:26","CONTADOR DELANTERO","","SUBIDAS","","","","2","2","","","","","","","1","0"
"2023-04-04 06:27:40","CONTADOR DELANTERO","","SUBIDAS","","","","3","2","","","","","","","1","0"
"2023-04-04 06:27:42","BIA","REGISTRO","","","20","1","","","","1","0","0","0","","",""
"2023-04-04 06:28:23","BIA","REGISTRO","","","40","2","","","","1","0","0","0","","",""
"2023-04-04 06:28:27","BIA","REGISTRO","","","50","3","","","","0","0","1","0","","",""
"2023-04-04 06:28:28","CONTADOR DELANTERO","","SUBIDAS","","","","4","2","","","","","","","1","0"
"2023-04-04 06:28:33","CONTADOR DELANTERO","","SUBIDAS","","","","5","2","","","","","","","1","0"
"2023-04-04 06:28:33","BIA","REGISTRO","","","70","4","","","","1","0","0","0","","",""
"2023-04-04 06:29:12","CONTADOR DELANTERO","","SUBIDAS","","","","6","2","","","","","","","1","0"
"2023-04-04 06:29:13","BIA","REGISTRO","","","90","5","","","","1","0","0","0","","",""
"2023-04-04 06:29:14","CONTADOR DELANTERO","","SUBIDAS","","","","8","2","","","","","","","1","0"
"2023-04-04 06:29:16","CONTADOR DELANTERO","","SUBIDAS","","","","9","2","","","","","","","1","0"
"2023-04-04 06:29:17","BIA","REGISTRO","","","110","6","","","","1","0","0","0","","",""
"2023-04-04 06:30:41","CONTADOR DELANTERO","","SUBIDAS","","","","10","2","","","","","","","1","0"
"2023-04-04 06:30:43","BIA","REGISTRO","","","130","7","","","","1","0","0","0","","",""
"2023-04-04 06:30:45","CONTADOR DELANTERO","","SUBIDAS","","","","11","2","","","","","","","1","0"
"2023-04-04 06:30:46","BIA","REGISTRO","","","150","8","","","","1","0","0","0","","",""
"2023-04-04 06:30:52","CONTADOR DELANTERO","","SUBIDAS","","","","12","2","","","","","","","1","0"
"2023-04-04 06:30:52","BIA","REGISTRO","","","170","9","","","","1","0","0","0","","",""
"2023-04-04 06:31:46","CONTADOR DELANTERO","","SUBIDAS","","","","13","2","","","","","","","1","0"
"2023-04-04 06:31:46","BIA","REGISTRO","","","190","10","","","","1","0","0","0","","",""
"2023-04-04 06:31:46","BIA","REGISTRO","","","198","11","","","","0","0","0","1","","",""
"2023-04-04 06:31:53","CONTADOR DELANTERO","","SUBIDAS","","","","14","2","","","","","","","1","0"
"2023-04-04 06:32:54","BIA","REGISTRO","","","218","12","","","","1","0","0","0","","",""
"2023-04-04 06:34:04","CONTADOR DELANTERO","","SUBIDAS","","","","15","2","","","","","","","1","0"
"2023-04-04 06:34:08","BIA","REGISTRO","","","238","13","","","","1","0","0","0","","",""
"2023-04-04 06:34:41","CONTADOR DELANTERO","","SUBIDAS","","","","16","2","","","","","","","1","0"
"2023-04-04 06:34:42","BIA","REGISTRO","","","258","14","","","","1","0","0","0","","",""
"2023-04-04 06:35:16","CONTADOR DELANTERO","","SUBIDAS","","","","17","2","","","","","","","1","0"
"2023-04-04 06:35:18","BIA","REGISTRO","","","278","15","","","","1","0","0","0","","",""
"2023-04-04 06:35:48","CONTADOR DELANTERO","","SUBIDAS","","","","18","2","","","","","","","1","0"
"2023-04-04 06:35:56","BIA","REGISTRO","","","298","16","","","","1","0","0","0","","",""
"2023-04-04 06:36:26","BIA","REGISTRO","","","318","17","","","","1","0","0","0","","",""
"2023-04-04 06:36:27","CONTADOR DELANTERO","","SUBIDAS","","","","19","2","","","","","","","1","0"
"2023-04-04 06:36:30","CONTADOR DELANTERO","","SUBIDAS","","","","20","2","","","","","","","1","0"
"2023-04-04 06:36:32","BIA","REGISTRO","","","338","18","","","","1","0","0","0","","",""
"2023-04-04 06:37:26","CONTADOR DELANTERO","","SUBIDAS","","","","21","2","","","","","","","1","0"
"2023-04-04 06:37:29","BIA","REGISTRO","","","353","19","","","","0","1","0","0","","",""
"2023-04-04 06:39:03","BIA","REGISTRO","","","373","20","","","","1","0","0","0","","",""
"2023-04-04 06:39:13","CONTADOR DELANTERO","","SUBIDAS","","","","22","2","","","","","","","1","0"
"2023-04-04 06:39:19","CONTADOR DELANTERO","","BAJADAS","","","","22","3","","","","","","","0","1"
"2023-04-04 06:39:35","BIA","REGISTRO","","","393","21","","","","1","0","0","0","","",""
"2023-04-04 06:39:38","CONTADOR DELANTERO","","SUBIDAS","","","","23","3","","","","","","","1","0"
"2023-04-04 06:40:19","CONTADOR DELANTERO","","SUBIDAS","","","","24","3","","","","","","","1","0"
"2023-04-04 06:40:23","BIA","REGISTRO","","","403","22","","","","0","0","1","0","","",""
"2023-04-04 06:42:28","BIA","REGISTRO","","","423","23","","","","1","0","0","0","","",""
"2023-04-04 06:43:07","BIA","REGISTRO","","","443","24","","","","1","0","0","0","","",""
"2023-04-04 06:43:15","CONTADOR DELANTERO","","SUBIDAS","","","","25","3","","","","","","","1","0"
"2023-04-04 06:43:29","BIA","REGISTRO","","","463","25","","","","1","0","0","0","","",""
"2023-04-04 06:45:23","CONTADOR DELANTERO","","SUBIDAS","","","","26","3","","","","","","","1","0"
"2023-04-04 06:45:34","BIA","REGISTRO","","","473","26","","","","0","0","1","0","","",""
"2023-04-04 06:46:50","CONTADOR DELANTERO","","BAJADAS","","","","26","4","","","","","","","0","1"
"2023-04-04 06:50:24","CONTADOR DELANTERO","","BAJADAS","","","","26","5","","","","","","","0","1"
