"Hora","Dispositivo","Boleto","Evento Contador","Folio de corte","Dinero Total","Conteo Total","Subidas Totales","Bajadas Totales","Tipo Tarifa","Directo","Estudiantes","Tercera Edad","Local","Exactitud","Subidas","Bajadas"
"2023-04-04 00:06:42","CONTADOR DELANTERO","","SUBIDAS","","","","176","235","","","","","","","1","0"
"2023-04-04 00:13:11","CONTADOR DELANTERO","","BAJADAS","","","","176","236","","","","","","","0","1"
"2023-04-04 00:13:16","CONTADOR DELANTERO","","BAJADAS","","","","176","237","","","","","","","0","1"
"2023-04-04 00:14:22","CONTADOR DELANTERO","","SUBIDAS","","","","177","237","","","","","","","1","0"
"2023-04-04 00:14:25","CONTADOR DELANTERO","","BAJADAS","","","","177","238","","","","","","","0","1"
"2023-04-04 00:17:47","CONTADOR DELANTERO","","BAJADAS","","","","177","239","","","","","","","0","1"
"2023-04-04 00:18:23","CONTADOR DELANTERO","","BAJADAS","","","","177","240","","","","","","","0","1"
"2023-04-04 00:38:34","CONTADOR DELANTERO","","BAJADAS","","","","177","241","","","","","","","0","1"
"2023-04-04 06:53:52","CONTADOR DELANTERO","","SUBIDAS","","","","178","241","","","","","","","1","0"
"2023-04-04 06:56:34","CONTADOR DELANTERO","","RESET","","","","0","0","","","","","","","",""
"2023-04-04 06:58:31","CONTADOR DELANTERO","","BAJADAS","","","","0","1","","","","","","","0","1"
"2023-04-04 06:58:35","BIA","REGISTRO","","","10","1","","","","0","0","1","0","","",""
"2023-04-04 06:58:36","CONTADOR DELANTERO","","SUBIDAS","","","","1","1","","","","","","","1","0"
"2023-04-04 06:58:36","BIA","REGISTRO","","","20","2","","","","0","0","1","0","","",""
"2023-04-04 06:58:39","CONTADOR DELANTERO","","SUBIDAS","","","","2","1","","","","","","","1","0"
"2023-04-04 06:58:42","CONTADOR DELANTERO","","SUBIDAS","","","","3","1","","","","","","","1","0"
"2023-04-04 06:58:42","BIA","REGISTRO","","","40","3","","","","1","0","0","0","","",""
"2023-04-04 06:58:47","CONTADOR DELANTERO","","SUBIDAS","","","","4","1","","","","","","","1","0"
"2023-04-04 06:58:49","CONTADOR DELANTERO","","SUBIDAS","","","","5","1","","","","","","","1","0"
"2023-04-04 06:58:50","BIA","REGISTRO","","","60","4","","","","1","0","0","0","","",""
"2023-04-04 07:00:32","CONTADOR DELANTERO","","SUBIDAS","","","","6","1","","","","","","","1","0"
"2023-04-04 07:00:35","BIA","REGISTRO","","","80","5","","","","1","0","0","0","","",""
"2023-04-04 07:02:03","BIA","REGISTRO","","","100","6","","","","1","0","0","0","","",""
"2023-04-04 07:02:10","CONTADOR DELANTERO","","SUBIDAS","","","","7","1","","","","","","","1","0"
"2023-04-04 07:02:20","CONTADOR DELANTERO","","SUBIDAS","","","","8","1","","","","","","","1","0"
"2023-04-04 07:02:35","CONTADOR DELANTERO","","SUBIDAS","","","","9","1","","","","","","","1","0"
"2023-04-04 07:02:36","BIA","REGISTRO","","","120","7","","","","1","0","0","0","","",""
"2023-04-04 07:02:40","CONTADOR DELANTERO","","SUBIDAS","","","","10","1","","","","","","","1","0"
"2023-04-04 07:02:41","BIA","REGISTRO","","","140","8","","","","1","0","0","0","","",""
"2023-04-04 07:02:53","CONTADOR DELANTERO","","SUBIDAS","","","","11","1","","","","","","","1","0"
"2023-04-04 07:02:54","BIA","REGISTRO","","","160","9","","","","1","0","0","0","","",""
"2023-04-04 07:03:14","BIA","REGISTRO","","","170","10","","","","0","0","1","0","","",""
"2023-04-04 07:03:15","CONTADOR DELANTERO","","SUBIDAS","","","","12","1","","","","","","","1","0"
"2023-04-04 07:04:15","BIA","REGISTRO","","","190","11","","","","1","0","0","0","","",""
"2023-04-04 07:08:59","CONTADOR DELANTERO","","SUBIDAS","","","","13","1","","","","","","","1","0"
"2023-04-04 07:09:24","BIA","REGISTRO","","","210","12","","","","1","0","0","0","","",""
"2023-04-04 07:11:24","CONTADOR DELANTERO","","BAJADAS","","","","13","2","","","","","","","0","1"
"2023-04-04 07:12:11","CONTADOR DELANTERO","","SUBIDAS","","","","14","2","","","","","","","1","0"
"2023-04-04 07:12:12","BIA","REGISTRO","","","230","13","","","","1","0","0","0","","",""
"2023-04-04 07:12:31","CONTADOR DELANTERO","","SUBIDAS","","","","15","2","","","","","","","1","0"
"2023-04-04 07:12:32","BIA","REGISTRO","","","250","14","","","","1","0","0","0","","",""
"2023-04-04 07:14:19","CONTADOR DELANTERO","","SUBIDAS","","","","16","2","","","","","","","1","0"
"2023-04-04 07:14:19","BIA","REGISTRO","","","270","15","","","","1","0","0","0","","",""
"2023-04-04 07:14:24","CONTADOR DELANTERO","","SUBIDAS","","","","17","2","","","","","","","1","0"
"2023-04-04 07:14:24","BIA","REGISTRO","","","290","16","","","","1","0","0","0","","",""
"2023-04-04 07:22:37","CONTADOR DELANTERO","","BAJADAS","","","","17","3","","","","","","","0","1"
"2023-04-04 07:22:41","CONTADOR DELANTERO","","SUBIDAS","","","","18","3","","","","","","","1","0"
"2023-04-04 07:25:15","CONTADOR DELANTERO","","BAJADAS","","","","18","4","","","","","","","0","1"
"2023-04-04 07:25:17","CONTADOR DELANTERO","","BAJADAS","","","","18","5","","","","","","","0","1"
"2023-04-04 07:26:37","CONTADOR DELANTERO","","BAJADAS","","","","18","6","","","","","","","0","1"
"2023-04-04 07:27:54","CONTADOR DELANTERO","","BAJADAS","","","","18","7","","","","","","","0","1"
"2023-04-04 07:28:33","CONTADOR DELANTERO","","BAJADAS","","","","18","8","","","","","","","0","1"
"2023-04-04 07:33:37","CONTADOR DELANTERO","","BAJADAS","","","","18","9","","","","","","","0","1"
"2023-04-04 07:36:13","CONTADOR DELANTERO","","BAJADAS","","","","18","10","","","","","","","0","1"
"2023-04-04 07:37:43","CONTADOR DELANTERO","","BAJADAS","","","","18","11","","","","","","","0","1"
"2023-04-04 07:37:52","BIA","REGISTRO","","","298","17","","","","0","0","0","1","","",""
"2023-04-04 07:43:27","CONTADOR DELANTERO","","BAJADAS","","","","18","12","","","","","","","0","1"
