"Hora","Dispositivo","Boleto","Evento Contador","Folio de corte","Dinero Total","Conteo Total","Subidas Totales","Bajadas Totales","Tipo Tarifa","Directo","Estudiantes","Tercera Edad","Local","Exactitud","Subidas","Bajadas"
"2023-04-04 00:04:24","CONTADOR DELANTERO","","SUBIDAS","","","","1","2","","","","","","","1","0"
"2023-04-04 00:04:37","CONTADOR DELANTERO","","BAJADAS","","","","0","1","","","","","","","0","1"
"2023-04-04 00:04:38","CONTADOR DELANTERO","","BAJADAS","","","","0","2","","","","","","","0","1"
"2023-04-04 06:21:56","BIA","REGISTRO","","","3648","211","","","","1","0","0","0","","",""
"2023-04-04 06:21:57","BIA","REGISTRO","","","3668","212","","","","1","0","0","0","","",""
"2023-04-04 06:21:59","BIA","REGISTRO","","","3688","213","","","","1","0","0","0","","",""
"2023-04-04 06:22:00","BIA","REGISTRO","","","3708","214","","","","1","0","0","0","","",""
"2023-04-04 06:24:03","CONTADOR DELANTERO","","BAJADAS","","","","1","3","","","","","","","0","1"
"2023-04-04 06:25:40","CONTADOR DELANTERO","","RESET","","","","0","0","","","","","","","",""
"2023-04-04 06:25:45","CONTADOR DELANTERO","","SUBIDAS","","","","1","0","","","","","","","1","0"
"2023-04-04 06:30:25","CONTADOR DELANTERO","","BAJADAS","","","","1","1","","","","","","","0","1"
"2023-04-04 06:30:38","CONTADOR DELANTERO","","SUBIDAS","","","","2","1","","","","","","","1","0"
"2023-04-04 06:30:45","CONTADOR DELANTERO","","SUBIDAS","","","","3","1","","","","","","","1","0"
"2023-04-04 06:31:24","CONTADOR DELANTERO","","BAJADAS","","","","3","3","","","","","","","0","1"
"2023-04-04 06:32:01","CONTADOR DELANTERO","","BAJADAS","","","","3","4","","","","","","","0","1"
"2023-04-04 06:35:52","CONTADOR DELANTERO","","SUBIDAS","","","","4","4","","","","","","","1","0"
"2023-04-04 06:36:12","CONTADOR DELANTERO","","BAJADAS","","","","4","5","","","","","","","0","1"
"2023-04-04 06:40:27","CONTADOR DELANTERO","","SUBIDAS","","","","5","5","","","","","","","1","0"
"2023-04-04 06:46:47","CONTADOR DELANTERO","","BAJADAS","","","","5","6","","","","","","","0","1"
"2023-04-04 06:51:25","CONTADOR DELANTERO","","SUBIDAS","","","","6","6","","","","","","","1","0"
"2023-04-04 06:53:04","CONTADOR DELANTERO","","BAJADAS","","","","6","7","","","","","","","0","1"
"2023-04-04 06:53:06","CONTADOR DELANTERO","","SUBIDAS","","","","7","7","","","","","","","1","0"
"2023-04-04 06:56:35","CONTADOR DELANTERO","","BAJADAS","","","","7","8","","","","","","","0","1"
"2023-04-04 06:59:16","CONTADOR DELANTERO","","SUBIDAS","","","","8","8","","","","","","","1","0"
"2023-04-04 07:06:03","CONTADOR DELANTERO","","SUBIDAS","","","","9","8","","","","","","","1","0"
"2023-04-04 07:06:08","CONTADOR DELANTERO","","SUBIDAS","","","","10","8","","","","","","","1","0"
"2023-04-04 07:06:11","BIA","REGISTRO","","","20","1","","","","1","0","0","0","","",""
"2023-04-04 07:07:05","CONTADOR DELANTERO","","SUBIDAS","","","","11","8","","","","","","","1","0"
"2023-04-04 07:07:22","CONTADOR DELANTERO","","SUBIDAS","","","","12","8","","","","","","","1","0"
"2023-04-04 07:07:39","BIA","REGISTRO","","","30","2","","","","0","0","1","0","","",""
"2023-04-04 07:07:41","BIA","REGISTRO","","","40","3","","","","0","0","1","0","","",""
"2023-04-04 07:09:35","CONTADOR DELANTERO","","SUBIDAS","","","","13","8","","","","","","","1","0"
"2023-04-04 07:09:39","BIA","REGISTRO","","","60","4","","","","1","0","0","0","","",""
"2023-04-04 07:09:50","CONTADOR DELANTERO","","SUBIDAS","","","","14","8","","","","","","","1","0"
"2023-04-04 07:09:53","BIA","REGISTRO","","","80","5","","","","1","0","0","0","","",""
"2023-04-04 07:10:17","BIA","REGISTRO","","","90","6","","","","0","0","1","0","","",""
"2023-04-04 07:12:26","CONTADOR DELANTERO","","SUBIDAS","","","","15","8","","","","","","","1","0"
"2023-04-04 07:12:35","BIA","REGISTRO","","","110","7","","","","1","0","0","0","","",""
