"Hora","Dispositivo","Boleto","Evento Contador","Folio de corte","Dinero Total","Conteo Total","Subidas Totales","Bajadas Totales","Tipo Tarifa","Directo","Estudiantes","Tercera Edad","Local","Exactitud","Subidas","Bajadas"
"2023-04-02 08:30:03","CONTADOR DELANTERO","REGISTRO_CONTEO","BAJADAS","","","","153","243","","","","","","","0","1"
"2023-04-02 08:32:33","CONTADOR DELANTERO","REGISTRO_CONTEO","BAJADAS","","","","153","244","","","","","","","0","1"
"2023-04-02 08:38:39","CONTADOR DELANTERO","REGISTRO_CONTEO","RESET","","","","0","0","","","","","","","",""
"2023-04-02 08:43:16","CONTADOR DELANTERO","REGISTRO_CONTEO","SUBIDAS","","","","1","0","","","","","","","1","0"
"2023-04-02 08:44:15","CONTADOR DELANTERO","REGISTRO_CONTEO","BAJADAS","","","","1","1","","","","","","","0","1"
"2023-04-02 08:44:17","CONTADOR DELANTERO","REGISTRO_CONTEO","BAJADAS","","","","1","2","","","","","","","0","1"
"2023-04-02 08:46:19","CONTADOR DELANTERO","REGISTRO_CONTEO","SUBIDAS","","","","2","2","","","","","","","1","0"
"2023-04-02 08:47:43","CONTADOR DELANTERO","REGISTRO_CONTEO","SUBIDAS","","","","3","2","","","","","","","1","0"
"2023-04-02 08:49:51","BIA","REGISTRO","","","20","1","","","","1","0","0","0","","",""
"2023-04-02 08:49:52","BIA","REGISTRO","","","40","2","","","","1","0","0","0","","",""
"2023-04-02 08:50:02","CONTADOR DELANTERO","REGISTRO_CONTEO","BAJADAS","","","","3","3","","","","","","","0","1"
"2023-04-02 08:57:24","CONTADOR DELANTERO","REGISTRO_CONTEO","SUBIDAS","","","","4","3","","","","","","","1","0"
"2023-04-02 08:57:31","BIA","REGISTRO","","","60","3","","","","1","0","0","0","","",""
"2023-04-02 08:59:13","BIA","REGISTRO","","","75","4","","","","0","1","0","0","","",""
"2023-04-02 09:02:36","CONTADOR DELANTERO","REGISTRO_CONTEO","SUBIDAS","","","","6","3","","","","","","","1","0"
"2023-04-02 09:02:36","BIA","REGISTRO","","","95","5","","","","1","0","0","0","","",""
"2023-04-02 09:02:42","CONTADOR DELANTERO","REGISTRO_CONTEO","SUBIDAS","","","","7","3","","","","","","","1","0"
"2023-04-02 09:02:49","BIA","REGISTRO","","","115","6","","","","1","0","0","0","","",""
"2023-04-02 09:03:34","BIA","REGISTRO","","","135","7","","","","1","0","0","0","","",""
"2023-04-02 09:05:02","CONTADOR DELANTERO","REGISTRO_CONTEO","SUBIDAS","","","","8","3","","","","","","","1","0"
"2023-04-02 09:05:03","BIA","REGISTRO","","","155","8","","","","1","0","0","0","","",""
